Date,Portfolio Value
2023-05-16,38877000.0
2023-05-16,38703000.0
2023-05-17,38368000.0
2023-05-17,38368000.0
2023-05-17,38368000.0
2023-05-18,38254000.0
2023-05-18,38254000.0
2023-05-18,38254000.0
2023-05-18,38254000.0
2023-05-18,38050000.0
2023-05-19,37223000.00000001
2023-05-19,36916000.00000001
2023-05-22,37195000.00000001
2023-05-23,36714000.00000001
2023-05-23,36670000.00000001
2023-05-23,36670000.00000001
2023-05-24,36983000.00000001
2023-05-24,36983000.00000001
2023-05-24,36669000.00000001
2023-05-24,36669000.00000001
2023-05-24,36669000.00000001
2023-05-24,36669000.00000001
2023-05-25,35821000.00000001
2023-05-25,35821000.00000001
2023-05-25,35821000.00000001
2023-05-25,35821000.00000001
2023-05-25,35410000.00000001
2023-05-26,35226000.00000001
2023-05-26,35226000.00000001
2023-05-26,35226000.00000001
2023-05-29,35612000.00000001
2023-05-29,35612000.00000001
2023-05-29,35612000.00000001
2023-05-29,35612000.00000001
2023-05-29,35612000.00000001
2023-05-29,35612000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35741000.00000001
2023-05-30,35784000.00000001
2023-05-30,35784000.00000001
2023-05-31,35343000.00000001
2023-05-31,35346000.00000001
2023-05-31,35539000.00000001
2023-05-31,35539000.00000001
2023-06-01,35592000.00000001
2023-06-01,35592000.00000001
2023-06-01,35785000.00000001
2023-06-05,37387000.00000001
2023-06-05,37387000.00000001
2023-06-05,37387000.00000001
2023-06-05,37387000.00000001
2023-06-05,37387000.00000001
2023-06-05,37387000.00000001
2023-06-05,37387000.00000001
2023-06-06,36729000.00000001
2023-06-06,37015000.00000001
2023-06-06,37015000.00000001
2023-06-07,37408000.00000001
2023-06-07,37408000.00000001
2023-06-08,36603000.00000001
2023-06-08,36603000.00000001
2023-06-08,36429000.00000001
2023-06-08,36429000.00000001
2023-06-08,36429000.00000001
2023-06-09,36942000.00000001
2023-06-09,36708000.00000001
2023-06-12,36594000.00000001
2023-06-12,36594000.00000001
2023-06-12,36594000.00000001
2023-06-12,36777000.00000001
2023-06-13,38130000.00000001
2023-06-13,38323000.00000001
2023-06-13,38323000.00000001
2023-06-14,36968000.00000001
2023-06-14,36968000.00000001
2023-06-14,36968000.00000001
2023-06-14,36290000.00000001
2023-06-15,36893000.00000001
2023-06-15,36893000.00000001
2023-06-15,36893000.00000001
2023-06-15,36893000.00000001
2023-06-15,36893000.00000001
2023-06-15,36893000.00000001
2023-06-15,36893000.00000001
2023-06-16,37225000.000000015
2023-06-16,36981000.000000015
2023-06-16,36981000.000000015
2023-06-19,37917000.000000015
2023-06-19,37917000.000000015
2023-06-19,38050000.000000015
2023-06-19,38050000.000000015
2023-06-20,36665000.000000015
2023-06-20,36665000.000000015
2023-06-20,36708000.000000015
2023-06-21,36694000.000000015
2023-06-21,36694000.000000015
2023-06-21,36694000.000000015
2023-06-21,36694000.000000015
2023-06-21,36590000.000000015
2023-06-21,36590000.000000015
2023-06-22,37943000.000000015
2023-06-22,37943000.000000015
2023-06-22,37943000.000000015
2023-06-23,38426000.000000015
2023-06-23,38709000.000000015
2023-06-23,38709000.000000015
2023-06-26,38181000.000000015
2023-06-26,38181000.000000015
2023-06-26,38181000.000000015
2023-06-26,38181000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-27,38984000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-28,38576000.000000015
2023-06-29,38135000.000000015
2023-06-29,38135000.000000015
2023-06-29,38135000.000000015
2023-06-29,38135000.000000015
2023-06-29,38135000.000000015
2023-06-29,38135000.000000015
2023-06-29,38218000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,38991000.000000015
2023-06-30,39014000.000000015
2023-06-30,39087000.000000015
2023-07-03,39240000.000000015
2023-07-03,39240000.000000015
2023-07-03,39240000.000000015
2023-07-03,39166000.000000015
2023-07-04,38488000.000000015
2023-07-05,38801000.000000015
2023-07-05,38801000.000000015
2023-07-05,38804000.000000015
2023-07-05,38804000.000000015
2023-07-05,38807000.000000015
2023-07-05,38807000.000000015
2023-07-06,39113000.000000015
2023-07-06,39113000.000000015
2023-07-06,39113000.000000015
2023-07-06,39379000.000000015
2023-07-07,39402000.000000015
2023-07-07,39402000.000000015
2023-07-10,40151000.000000015
2023-07-10,40354000.000000015
2023-07-11,41507000.000000015
2023-07-11,41507000.000000015
2023-07-11,41507000.000000015
2023-07-11,41507000.000000015
2023-07-11,41507000.000000015
2023-07-11,41507000.000000015
2023-07-12,40349000.000000015
2023-07-12,40245000.000000015
2023-07-13,40384000.000000015
2023-07-14,40049000.000000015
2023-07-14,40088000.000000015
2023-07-18,39389000.000000015
2023-07-20,39071000.000000015
2023-07-20,39264000.000000015
2023-07-20,39264000.000000015
2023-07-20,39264000.000000015
2023-07-20,39264000.000000015
2023-07-21,39487000.00000002
2023-07-21,39490000.00000002
2023-07-24,41623000.00000002
2023-07-24,41623000.00000002
2023-07-24,41623000.00000002
2023-07-24,41623000.00000002
2023-07-24,41623000.00000002
2023-07-24,41623000.00000002
2023-07-25,41482000.00000002
2023-07-25,41482000.00000002
2023-07-25,41482000.00000002
2023-07-25,41482000.00000002
2023-07-25,41482000.00000002
2023-07-25,41482000.00000002
2023-07-25,41482000.00000002
2023-07-26,40841000.00000002
2023-07-27,41204000.00000002
2023-07-27,41204000.00000002
2023-07-27,41204000.00000002
2023-07-27,41487000.00000002
2023-07-28,40435000.00000002
2023-07-31,40754000.00000002
2023-07-31,40754000.00000002
2023-07-31,40754000.00000002
2023-08-01,42363000.00000002
2023-08-01,42363000.00000002
2023-08-01,42396000.00000002
2023-08-01,42396000.00000002
2023-08-01,42469000.00000002
2023-08-02,41845000.00000002
2023-08-02,41845000.00000002
2023-08-02,41845000.00000002
2023-08-02,41858000.00000002
2023-08-02,41858000.00000002
2023-08-03,40824000.00000002
2023-08-03,40824000.00000002
2023-08-03,40824000.00000002
2023-08-03,40824000.00000002
