SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit,score
273,12,25,10,45,60,10,2.5,0.5,2.0,1.0,5,50,0.7144654101789811,-0.1346176528405742,9780000.0,0.647156583758694
317,12,35,18,40,55,14,1.5,2.0,2.0,1.4,10,50,0.7328805530766016,-0.1718766877659918,8793999.999999978,0.6469422091936057
1072,15,35,14,45,60,21,3.0,1.5,1.5,1.4,20,45,0.7106199432239,-0.1339327375183948,8259000.0,0.6436535744647026
1538,10,25,14,45,65,10,1.5,2.0,1.5,1.0,20,55,0.7325989028675357,-0.18015037593985,9296999.999999978,0.6425237148976107
1726,8,30,10,45,65,10,1.5,1.5,2.0,1.2,10,45,0.7167271796526272,-0.1540411446767501,8721999.999999978,0.6397066073142522
1148,5,20,14,35,55,10,3.0,1.5,2.0,1.0,5,50,0.7048348892635822,-0.1307582574344341,9979999.999999993,0.6394557605463651
1868,5,20,18,25,55,10,3.5,1.0,1.0,0.8,20,55,0.722097048156522,-0.1678003052103771,9364999.999999993,0.6381968955513334
283,12,30,18,40,60,10,2.0,0.5,2.0,1.2,5,55,0.7182436630052322,-0.1613927614242922,9189999.999999978,0.6375472822930861
600,5,35,18,35,65,21,2.0,2.0,2.0,1.0,20,50,0.7251324309520296,-0.1759852369714501,8925999.999999993,0.6371398124663046
2445,8,25,18,35,55,21,3.0,1.5,1.5,0.8,10,55,0.728443308813882,-0.1828443891237631,10181999.999999993,0.6370211142520004
1894,12,20,18,40,50,10,2.5,2.0,2.0,1.0,20,45,0.7158360792156384,-0.1617652282010303,9414999.999999983,0.6349534651151233
2417,5,30,18,45,50,10,2.5,1.0,2.0,1.4,15,45,0.7246591982331398,-0.1810374130390444,8830999.999999963,0.6341404917136176
1659,15,30,14,35,65,21,4.5,1.5,2.0,1.2,10,55,0.7107425857486857,-0.1533364090089332,8440999.999999978,0.6340743812442191
1716,8,20,10,35,50,14,4.0,0.5,2.0,0.8,15,55,0.7110256490203293,-0.1547754597911885,10041999.99999997,0.633637919124735
39,8,40,10,35,60,14,3.5,0.5,1.5,1.4,15,45,0.7114781418440025,-0.1560032304379036,8343999.999999993,0.6334765266250507
1914,5,20,14,35,50,10,3.0,1.5,2.0,1.0,5,50,0.7004851201273457,-0.1340365041126807,9902999.999999993,0.6334668680710053
1568,10,20,10,45,65,21,2.5,1.0,1.5,0.8,5,50,0.7154130471970152,-0.1646867177877548,10215000.0,0.6330696883031377
2224,5,30,18,25,50,10,5.0,2.0,1.0,1.0,10,50,0.7651416212222666,-0.26414451986297,10034999.999999978,0.6330693612907816
708,12,40,10,35,60,10,5.0,0.5,2.0,1.4,5,50,0.718930861327475,-0.1721140925050934,8799000.0,0.6328738150749282
723,10,35,10,35,50,21,1.5,1.0,2.0,0.8,20,45,0.7251762695198257,-0.189120469846727,9829999.999999993,0.6306160345964622
1399,15,30,10,35,70,21,2.0,1.5,1.5,1.0,20,50,0.7069125572091921,-0.1578183928053378,8957000.000000015,0.6280033608065232
2286,15,20,14,30,50,21,2.5,1.5,1.0,0.8,10,45,0.6984170423929034,-0.1418692001767564,9662999.999999993,0.6274824423045252
2476,10,25,10,40,70,10,2.0,2.0,2.0,1.4,10,55,0.7262747860249629,-0.1986085035891771,8679000.0,0.6269705342303743
2322,10,25,18,30,50,10,5.0,1.0,1.5,1.0,5,55,0.7137428194321264,-0.1762692646873554,9592000.000000007,0.6256081870884487
1547,5,35,14,40,50,14,1.5,2.0,1.0,0.8,15,55,0.7054810757910018,-0.1625607661098727,9763999.99999997,0.6242006927360655
1312,8,25,14,35,65,21,3.0,2.0,2.0,1.4,20,45,0.6842045424837649,-0.1227995577855258,7536999.999999985,0.622804763591002
784,12,30,18,45,50,14,1.5,1.5,1.5,1.2,20,55,0.7092526429659248,-0.1747156993058631,8628999.999999985,0.6218947933129932
1798,10,20,10,45,70,21,4.5,2.0,1.5,0.8,10,50,0.706481954265722,-0.1706186699694359,9961000.000000022,0.6211726192810041
715,15,25,10,25,70,10,3.0,0.5,2.0,1.4,10,50,0.7317395048316079,-0.2215345979640341,8286000.000000007,0.6209722058495908
435,8,20,14,35,55,21,2.0,1.5,1.5,0.8,5,55,0.6900442841061848,-0.1408893573687316,9435999.999999983,0.619599605421819
1062,8,20,10,40,55,14,4.0,2.0,1.0,0.8,20,55,0.7094140410369285,-0.1815442107166539,10467999.999999983,0.6186419356786016
1592,15,25,14,40,55,21,2.0,1.5,1.5,1.0,15,50,0.6942849220175494,-0.152496527523942,8864000.0,0.6180366582555784
1332,12,40,14,45,50,14,2.0,1.5,1.0,1.2,10,50,0.6908328331815999,-0.1459829443447036,8708999.999999985,0.6178413610092481
1863,8,40,14,45,50,14,3.0,0.5,1.5,1.0,20,50,0.716380450507863,-0.1985147100828337,9023999.999999993,0.6171230954664462
742,12,30,14,25,70,10,4.5,2.0,2.0,1.4,15,55,0.7186427643432493,-0.2034477261858671,7863000.000000007,0.6169189012503157
1244,10,25,10,35,55,10,4.5,0.5,2.0,1.0,5,50,0.7015771376049877,-0.1706029207078627,9925000.0,0.6162756772510564
720,10,30,18,45,65,10,5.0,1.0,2.0,1.4,10,45,0.6965841051182486,-0.1612736506224437,8230000.0,0.6159472798070268
2102,5,20,18,45,50,21,5.0,1.0,2.0,1.0,20,45,0.7158023346689072,-0.2020502770135306,9838999.99999997,0.6147771961621419
189,5,35,14,30,50,21,3.5,2.0,2.0,1.4,5,55,0.7306287318980754,-0.2352753963360054,8707999.999999993,0.6129910337300727
1113,5,40,10,45,50,21,4.5,1.0,2.0,1.0,5,45,0.7046200418427843,-0.1881929202543759,10144999.99999997,0.6105235817155963
2223,15,20,18,40,55,14,2.5,1.0,1.5,1.0,10,50,0.6779837170672977,-0.1357560048997854,8710000.0,0.6101057146174049
2382,10,35,18,40,60,10,1.5,2.0,2.0,1.2,5,50,0.7083164517086074,-0.199132501211268,9457999.999999978,0.6087502011029734
967,5,25,10,35,55,10,3.0,0.5,2.0,1.2,5,50,0.7105452873799954,-0.2050400225252401,9442999.999999965,0.6080252761173754
1915,8,30,18,30,65,14,2.0,2.0,2.0,1.4,20,50,0.6920497756906946,-0.170731707317073,7664000.0,0.606683922032158
