SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
723,5,30,10,45,60,10,3.0,0.5,1.0,1.2,10,50,2.004108378596658,-0.16478151682571557,31131000.0
724,5,30,10,45,60,10,3.0,0.5,1.0,1.2,15,50,1.9429834021253953,-0.1789834069290173,29914000.0
725,5,30,10,45,60,10,3.0,0.5,1.5,1.0,10,50,1.0290344922126657,-0.1902940033144422,15675000.000000015
726,5,30,10,45,60,10,3.0,0.5,1.5,1.0,15,50,0.8645068849783142,-0.17056009006473388,12489000.000000022
727,5,30,10,45,60,10,3.0,0.5,1.5,1.2,10,50,1.4308395959549154,-0.20957481075857612,21297000.0
728,5,30,10,45,60,10,3.0,0.5,1.5,1.2,15,50,1.3516804784766367,-0.20910687158442978,19745000.000000015
729,5,30,10,45,60,10,3.0,1.0,1.0,1.0,10,50,1.40778654158003,-0.13978605863731336,22821000.0
730,5,30,10,45,60,10,3.0,1.0,1.0,1.0,15,50,1.2171688444216575,-0.1381427318525769,18891000.000000022
731,5,30,10,45,60,10,3.0,1.0,1.0,1.2,10,50,2.020093315499395,-0.16353913849918097,31517000.0
732,5,30,10,45,60,10,3.0,1.0,1.0,1.2,15,50,1.8656294074364383,-0.18157467691164667,28709000.0
733,5,30,10,45,60,10,3.0,1.0,1.5,1.0,10,50,1.0403356706244364,-0.18686393918338973,15859000.000000015
734,5,30,10,45,60,10,3.0,1.0,1.5,1.0,15,50,0.8836818950873501,-0.16614206379438226,12793000.000000022
735,5,30,10,45,60,10,3.0,1.0,1.5,1.2,10,50,1.4396831916030703,-0.2089983737878695,21404000.0
736,5,30,10,45,60,10,3.0,1.0,1.5,1.2,15,50,1.3305718283866448,-0.21018501992979938,19455000.000000015
737,5,30,10,45,60,14,2.0,0.5,1.0,1.0,10,50,1.3781638542632049,-0.12993387415638416,21321000.000000015
738,5,30,10,45,60,14,2.0,0.5,1.0,1.0,15,50,1.3945220967662924,-0.1287143622005087,21045000.000000022
739,5,30,10,45,60,14,2.0,0.5,1.0,1.2,10,50,2.1729509180683007,-0.11221076656697622,33087000.0
740,5,30,10,45,60,14,2.0,0.5,1.0,1.2,15,50,2.067580430602135,-0.13243824670585058,31543000.0
741,5,30,10,45,60,14,2.0,0.5,1.5,1.0,10,50,0.9799508159795014,-0.17818818040435444,14040000.000000015
742,5,30,10,45,60,14,2.0,0.5,1.5,1.0,15,50,0.8561311576851572,-0.15339227441754558,11745000.000000022
743,5,30,10,45,60,14,2.0,0.5,1.5,1.2,10,50,1.5244038759844483,-0.19074567243675086,21885000.0
744,5,30,10,45,60,14,2.0,0.5,1.5,1.2,15,50,1.4086910941810737,-0.19871431641884352,20166000.000000015
745,5,30,10,45,60,14,2.0,1.0,1.0,1.0,10,50,1.4718754631746478,-0.12751299970191762,23022000.000000015
746,5,30,10,45,60,14,2.0,1.0,1.0,1.0,15,50,1.3567758455784271,-0.13409178493038224,20430000.000000022
747,5,30,10,45,60,14,2.0,1.0,1.0,1.2,10,50,2.185569612907507,-0.11196723856843398,33816000.0
748,5,30,10,45,60,14,2.0,1.0,1.0,1.2,15,50,1.9613179539647276,-0.15439283930698,30201000.0
749,5,30,10,45,60,14,2.0,1.0,1.5,1.0,10,50,0.9610016047946566,-0.17846573208722727,13740000.000000015
750,5,30,10,45,60,14,2.0,1.0,1.5,1.0,15,50,0.8420964802762034,-0.15339227441754558,11525000.000000022
751,5,30,10,45,60,14,2.0,1.0,1.5,1.2,10,50,1.510579766538554,-0.19074567243675086,21665000.0
752,5,30,10,45,60,14,2.0,1.0,1.5,1.2,15,50,1.3947852604232298,-0.19871431641884352,19946000.000000015
753,5,30,10,45,60,14,3.0,0.5,1.0,1.0,10,50,1.4365638619501833,-0.11165608770917483,23373000.0
754,5,30,10,45,60,14,3.0,0.5,1.0,1.0,15,50,1.4187313652866227,-0.1028133536736793,22526000.00000003
755,5,30,10,45,60,14,3.0,0.5,1.0,1.2,10,50,2.109507408079504,-0.13522974169147808,33168000.0
756,5,30,10,45,60,14,3.0,0.5,1.0,1.2,15,50,2.0094253059029263,-0.15156154918241943,31424000.0
757,5,30,10,45,60,14,3.0,0.5,1.5,1.0,10,50,0.9859228055442756,-0.18091121399598462,14587000.000000015
758,5,30,10,45,60,14,3.0,0.5,1.5,1.0,15,50,0.8347129612413879,-0.16322430282086298,11781000.000000022
759,5,30,10,45,60,14,3.0,0.5,1.5,1.2,10,50,1.4476426512744902,-0.20372152710939992,21089000.0
760,5,30,10,45,60,14,3.0,0.5,1.5,1.2,15,50,1.3451450107640683,-0.20550039714058763,19347000.000000015
761,5,30,10,45,60,14,3.0,1.0,1.0,1.0,10,50,1.5233724904890924,-0.1023281654195385,25031000.0
762,5,30,10,45,60,14,3.0,1.0,1.0,1.0,15,50,1.3808693780040389,-0.10865355575689752,21868000.000000022
763,5,30,10,45,60,14,3.0,1.0,1.0,1.2,10,50,2.1227654941101783,-0.13580980683506672,33854000.0
764,5,30,10,45,60,14,3.0,1.0,1.0,1.2,15,50,1.9128143930162596,-0.17399839035785078,30229000.0
765,5,30,10,45,60,14,3.0,1.0,1.5,1.0,10,50,0.9677760952806352,-0.18120819140641015,14287000.000000015
766,5,30,10,45,60,14,3.0,1.0,1.5,1.0,15,50,0.8213570503801055,-0.16322430282086298,11561000.000000022
767,5,30,10,45,60,14,3.0,1.0,1.5,1.2,10,50,1.4340999778881116,-0.20372152710939992,20869000.0
768,5,30,10,45,60,14,3.0,1.0,1.5,1.2,15,50,1.3313854379453525,-0.20550039714058763,19127000.000000015
769,5,30,14,40,55,10,2.0,0.5,1.0,1.0,10,50,1.1143390476151405,-0.1822312064686573,16633000.000000015
770,5,30,14,40,55,10,2.0,0.5,1.0,1.0,15,50,1.1724699301966282,-0.15550655680631295,17149000.000000022
771,5,30,14,40,55,10,2.0,0.5,1.0,1.2,10,50,1.9934589875922382,-0.14435276718299977,29808000.0
772,5,30,14,40,55,10,2.0,0.5,1.0,1.2,15,50,1.970904431656343,-0.14949494949494935,28812000.000000015
773,5,30,14,40,55,10,2.0,0.5,1.5,1.0,10,50,0.805245939454541,-0.2157085718767154,11196000.000000015
774,5,30,14,40,55,10,2.0,0.5,1.5,1.0,15,50,0.8439788820228563,-0.18823979347929998,11638000.000000022
775,5,30,14,40,55,10,2.0,0.5,1.5,1.2,10,50,1.5358644556309735,-0.18175665222772264,22276000.0
776,5,30,14,40,55,10,2.0,0.5,1.5,1.2,15,50,1.3920889542452695,-0.18372541457770908,19464000.000000015
777,5,30,14,40,55,10,2.0,1.0,1.0,1.0,10,50,1.1694920461862595,-0.1655176536223797,17543000.000000015
778,5,30,14,40,55,10,2.0,1.0,1.0,1.0,15,50,1.174945646719631,-0.15390560095828731,17201000.000000022
779,5,30,14,40,55,10,2.0,1.0,1.0,1.2,10,50,2.0138144850176114,-0.1437217497893203,30327000.0
780,5,30,14,40,55,10,2.0,1.0,1.0,1.2,15,50,1.9033723618351548,-0.1518641495114314,27820000.0
781,5,30,14,40,55,10,2.0,1.0,1.5,1.0,10,50,0.811704734162268,-0.2127263098016907,11300000.000000015
782,5,30,14,40,55,10,2.0,1.0,1.5,1.0,15,50,0.8586195317699079,-0.18427185207823946,11862000.000000022
783,5,30,14,40,55,10,2.0,1.0,1.5,1.2,10,50,1.5387028982754187,-0.18155652996967284,22303000.0
784,5,30,14,40,55,10,2.0,1.0,1.5,1.2,15,50,1.369943096904871,-0.18465116279069754,19174000.000000015
785,5,30,14,40,55,10,3.0,0.5,1.0,1.0,10,50,1.09959934368383,-0.16598343512089,16801000.000000015
786,5,30,14,40,55,10,3.0,0.5,1.0,1.0,15,50,1.1332511052239174,-0.140717342571836,17013000.000000022
787,5,30,14,40,55,10,3.0,0.5,1.0,1.2,10,50,2.012730846905491,-0.13810420590081593,30656000.0
788,5,30,14,40,55,10,3.0,0.5,1.0,1.2,15,50,1.9361152677064186,-0.1423109843081311,28550000.000000015
789,5,30,14,40,55,10,3.0,0.5,1.5,1.0,10,50,0.8271841373429869,-0.20135148971024863,11796000.000000015
790,5,30,14,40,55,10,3.0,0.5,1.5,1.0,15,50,0.8458567678390078,-0.18184920507467464,11997000.000000022
791,5,30,14,40,55,10,3.0,0.5,1.5,1.2,10,50,1.5604413922401363,-0.17697604614207507,23000000.000000007
792,5,30,14,40,55,10,3.0,0.5,1.5,1.2,15,50,1.3929038014100548,-0.17274807088293445,19565000.000000015
793,5,30,14,40,55,10,3.0,1.0,1.0,1.0,10,50,1.1436302544744459,-0.15763987031340912,17564000.000000015
794,5,30,14,40,55,10,3.0,1.0,1.0,1.0,15,50,1.1529117048935364,-0.14688967016887827,17395000.000000022
795,5,30,14,40,55,10,3.0,1.0,1.0,1.2,10,50,2.0517060486508196,-0.13735543562066294,31474999.999999985
796,5,30,14,40,55,10,3.0,1.0,1.0,1.2,15,50,1.8816589937883963,-0.14466214278887493,27778000.0
797,5,30,14,40,55,10,3.0,1.0,1.5,1.0,10,50,0.8387121062451511,-0.19790558782622908,11980000.000000015
798,5,30,14,40,55,10,3.0,1.0,1.5,1.0,15,50,0.865312917253332,-0.17740676235661507,12301000.000000022
799,5,30,14,40,55,10,3.0,1.0,1.5,1.2,10,50,1.5695892669299483,-0.17650166307963203,23107000.000000007
800,5,30,14,40,55,10,3.0,1.0,1.5,1.2,15,50,1.3709190734512418,-0.17362329007365823,19275000.000000015
801,5,30,14,40,55,14,2.0,0.5,1.0,1.0,10,50,1.2734629649937932,-0.1448720250563567,19309000.000000015
802,5,30,14,40,55,14,2.0,0.5,1.0,1.0,15,50,1.3868448160734648,-0.1199529973801817,20856000.000000022
803,5,30,14,40,55,14,2.0,0.5,1.0,1.2,10,50,2.1374850820322604,-0.10250675793936315,32141999.999999985
804,5,30,14,40,55,14,2.0,0.5,1.0,1.2,15,50,2.055682218888366,-0.11581663630843944,30319000.000000015
805,5,30,14,40,55,14,2.0,0.5,1.5,1.0,10,50,0.8680823327166438,-0.2115373272251822,12118000.000000015
806,5,30,14,40,55,14,2.0,0.5,1.5,1.0,15,50,0.9079038793151217,-0.18057230356971946,12543000.000000022
807,5,30,14,40,55,14,2.0,0.5,1.5,1.2,10,50,1.5495097865438963,-0.18089211298039806,22204000.000000007
808,5,30,14,40,55,14,2.0,0.5,1.5,1.2,15,50,1.391525630598179,-0.18444491878990146,19282000.000000015
809,5,30,14,40,55,14,2.0,1.0,1.0,1.0,10,50,1.3197461896596325,-0.12818626476319228,20136000.000000015
810,5,30,14,40,55,14,2.0,1.0,1.0,1.0,15,50,1.3438225517526823,-0.12045384496840793,20124000.000000022
811,5,30,14,40,55,14,2.0,1.0,1.0,1.2,10,50,2.16293608084227,-0.10354870851536738,33070999.999999985
