,Date,Time,tickersymbol,Open,Close,High,Low,Volume
2562,2025-03-24,13:50:00,VN30F2504,1376.6,1376.4,1377.1,1376.1,154
2563,2025-03-24,13:55:00,VN30F2504,1376.5,1376.8,1377.2,1376.3,126
2564,2025-03-24,14:00:00,VN30F2504,1376.3,1376.3,1376.5,1375.7,183
2565,2025-03-24,14:05:00,VN30F2504,1376.3,1377.6,1377.7,1376.3,136
2566,2025-03-24,14:10:00,VN30F2504,1377.7,1381.7,1381.7,1377.7,219
2567,2025-03-24,14:15:00,VN30F2504,1381.8,1383.5,1384.6,1381.8,287
2568,2025-03-24,14:20:00,VN30F2504,1383.4,1383.0,1384.0,1382.5,240
2569,2025-03-24,14:25:00,VN30F2504,1382.8,1386.3,1387.0,1382.4,232
2570,2025-03-24,14:30:00,VN30F2504,1386.6,1386.6,1386.6,1386.6,2
2571,2025-03-25,09:00:00,VN30F2504,1391.1,1391.3,1392.2,1390.5,371
2572,2025-03-25,09:05:00,VN30F2504,1391.8,1391.5,1392.2,1391.2,341
2573,2025-03-25,09:10:00,VN30F2504,1391.7,1391.4,1392.2,1391.3,246
2574,2025-03-25,09:15:00,VN30F2504,1391.3,1391.1,1392.0,1391.0,225
2575,2025-03-25,09:20:00,VN30F2504,1391.0,1390.9,1391.1,1390.3,198
2576,2025-03-25,09:25:00,VN30F2504,1391.0,1389.4,1391.0,1389.3,424
2577,2025-03-25,09:30:00,VN30F2504,1389.3,1388.8,1389.7,1388.4,248
2578,2025-03-25,09:35:00,VN30F2504,1388.9,1389.1,1389.2,1388.4,341
2579,2025-03-25,09:40:00,VN30F2504,1389.0,1389.5,1390.1,1389.0,185
2580,2025-03-25,09:45:00,VN30F2504,1389.4,1388.6,1389.4,1388.4,200
2581,2025-03-25,09:50:00,VN30F2504,1388.5,1389.0,1389.0,1388.3,169
2582,2025-03-25,09:55:00,VN30F2504,1388.9,1388.6,1388.9,1388.5,112
2583,2025-03-25,10:00:00,VN30F2504,1388.6,1388.3,1388.6,1387.6,221
2584,2025-03-25,10:05:00,VN30F2504,1388.2,1388.7,1389.5,1388.1,207
2585,2025-03-25,10:10:00,VN30F2504,1388.8,1390.1,1390.1,1388.2,157
2586,2025-03-25,10:15:00,VN30F2504,1389.9,1390.0,1390.9,1389.7,236
2587,2025-03-25,10:20:00,VN30F2504,1389.9,1390.4,1390.4,1389.7,152
2588,2025-03-25,10:25:00,VN30F2504,1390.3,1390.4,1390.9,1390.0,158
2589,2025-03-25,10:30:00,VN30F2504,1390.5,1390.3,1391.0,1390.3,137
2590,2025-03-25,10:35:00,VN30F2504,1390.5,1389.7,1390.9,1389.4,227
2591,2025-03-25,10:40:00,VN30F2504,1389.4,1389.0,1389.8,1388.6,174
2592,2025-03-25,10:45:00,VN30F2504,1388.9,1388.3,1389.0,1388.1,208
2593,2025-03-25,10:50:00,VN30F2504,1388.0,1387.2,1388.0,1386.8,236
2594,2025-03-25,10:55:00,VN30F2504,1387.0,1388.2,1388.3,1387.0,234
2595,2025-03-25,11:00:00,VN30F2504,1387.9,1387.1,1388.0,1387.1,202
2596,2025-03-25,11:05:00,VN30F2504,1387.3,1386.9,1388.0,1386.7,165
2597,2025-03-25,11:10:00,VN30F2504,1386.9,1387.2,1387.7,1386.4,191
2598,2025-03-25,11:15:00,VN30F2504,1387.4,1388.3,1388.6,1387.0,238
2599,2025-03-25,11:20:00,VN30F2504,1388.5,1387.7,1388.7,1387.7,174
2600,2025-03-25,11:25:00,VN30F2504,1388.0,1387.6,1388.2,1387.4,139
2601,2025-03-25,13:00:00,VN30F2504,1387.7,1386.6,1388.5,1386.6,132
2602,2025-03-25,13:05:00,VN30F2504,1386.9,1388.2,1388.4,1386.7,199
2603,2025-03-25,13:10:00,VN30F2504,1387.8,1387.4,1388.0,1387.0,125
2604,2025-03-25,13:15:00,VN30F2504,1387.7,1388.5,1388.8,1387.7,152
2605,2025-03-25,13:20:00,VN30F2504,1388.3,1388.8,1389.3,1388.3,260
2606,2025-03-25,13:25:00,VN30F2504,1388.9,1388.6,1389.2,1388.2,177
2607,2025-03-25,13:30:00,VN30F2504,1388.7,1390.4,1390.5,1388.6,130
2608,2025-03-25,13:35:00,VN30F2504,1390.6,1390.8,1391.1,1390.3,169
2609,2025-03-25,13:40:00,VN30F2504,1390.2,1389.7,1390.4,1389.5,215
2610,2025-03-25,13:45:00,VN30F2504,1389.9,1391.0,1391.0,1389.2,189
2611,2025-03-25,13:50:00,VN30F2504,1390.9,1388.6,1391.2,1388.1,243
2612,2025-03-25,13:55:00,VN30F2504,1388.6,1387.3,1388.8,1387.2,316
2613,2025-03-25,14:00:00,VN30F2504,1386.8,1387.3,1387.6,1386.0,232
2614,2025-03-25,14:05:00,VN30F2504,1387.4,1386.9,1387.8,1386.8,138
2615,2025-03-25,14:10:00,VN30F2504,1387.0,1387.8,1388.0,1386.9,345
2616,2025-03-25,14:15:00,VN30F2504,1387.7,1384.5,1387.7,1384.2,370
2617,2025-03-25,14:20:00,VN30F2504,1384.8,1386.1,1386.7,1384.4,197
