Minute,tickersymbol,High,Low,Close,Volume,Open
2022-12-14 09:56,VN30F2301,1068.00,1049.20,1059.00,2405,1059.00
2022-12-14 09:57,VN30F2212,1071.30,1048.50,1059.60,63479,1059.60
2022-12-14 09:57,VN30F2301,1068.00,1049.20,1059.00,2425,1059.00
2022-12-14 09:58,VN30F2212,1071.30,1048.50,1059.60,65333,1059.60
2022-12-14 09:58,VN30F2301,1068.00,1049.20,1059.00,2432,1059.00
2022-12-14 09:59,VN30F2212,1071.30,1048.50,1059.60,66390,1059.60
2022-12-14 09:59,VN30F2301,1068.00,1049.20,1059.00,2509,1059.00
2022-12-14 10:00,VN30F2212,1071.30,1048.50,1059.60,67885,1059.60
2022-12-14 10:00,VN30F2301,1068.00,1049.20,1059.00,2525,1059.00
2022-12-14 10:00,VN30F2303,1055.10,1041.00,1047.30,67,1047.30
2022-12-14 10:01,VN30F2212,1071.30,1048.50,1059.60,69135,1059.60
2022-12-14 10:01,VN30F2301,1068.00,1049.20,1059.00,2574,1059.00
2022-12-14 10:01,VN30F2303,1055.10,1041.00,1047.30,69,1047.30
2022-12-14 10:02,VN30F2212,1071.30,1048.50,1059.60,69840,1059.60
2022-12-14 10:02,VN30F2301,1068.00,1049.20,1059.00,2585,1059.00
2022-12-14 10:03,VN30F2212,1071.30,1048.50,1059.60,70757,1059.60
2022-12-14 10:03,VN30F2301,1068.00,1049.20,1059.00,2593,1059.00
2022-12-14 10:04,VN30F2212,1071.30,1048.50,1059.60,71452,1059.60
2022-12-14 10:04,VN30F2301,1068.00,1049.20,1059.00,2599,1059.00
2022-12-14 10:05,VN30F2212,1071.30,1048.50,1059.60,72933,1059.60
2022-12-14 10:05,VN30F2301,1068.00,1049.20,1059.00,2617,1059.00
2022-12-14 10:05,VN30F2303,1055.10,1041.00,1047.30,70,1047.30
2022-12-14 10:05,VN30F2306,1048.80,1032.00,1038.60,45,1038.60
2022-12-14 10:06,VN30F2212,1071.30,1048.50,1059.60,74215,1059.60
2022-12-14 10:06,VN30F2301,1068.00,1049.20,1059.00,2644,1059.00
2022-12-14 10:06,VN30F2303,1055.10,1041.00,1047.30,71,1047.30
2022-12-14 10:07,VN30F2212,1071.30,1048.50,1059.60,76369,1059.60
2022-12-14 10:07,VN30F2301,1068.00,1049.20,1059.00,2684,1059.00
