SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
1415,15,35,18,25,70,21,1.5,1.0,2.0,1.2,15,55,1.4231550787563316,-0.12608306553309198,15400000.000000007
1416,5,35,18,40,50,14,3.5,0.5,1.0,1.4,20,55,2.151579983071576,-0.08543266115572659,26800000.0
1417,10,40,14,30,50,10,3.0,0.5,1.0,1.0,20,45,0.9645076457678606,-0.1230477993374351,12258999.99999997
1418,10,30,14,30,55,10,2.5,2.0,2.0,1.4,5,45,0.16014661923875606,-0.22404347145508616,1513000.0
1419,5,35,14,40,60,14,5.0,0.5,2.0,1.2,15,45,1.5287632007621677,-0.1008335574079052,21833999.999999985
1420,5,35,18,45,70,21,4.0,1.0,1.0,1.2,15,55,1.527715935313137,-0.10647684890384781,18934999.999999993
1421,15,35,14,45,65,14,2.0,1.5,2.0,0.8,20,50,0.8148589604190237,-0.17248827677879133,11338000.000000007
1422,15,30,10,45,65,10,4.5,0.5,1.0,0.8,15,50,1.4991380535688847,-0.1338486414007966,22748000.0
1423,12,20,18,25,60,14,5.0,1.0,1.0,1.0,15,55,2.020405698529343,-0.11321018317292766,26840000.0
1424,8,40,14,40,60,10,1.5,1.5,1.0,1.4,20,45,1.9521458064525952,-0.07497204853203016,22642000.000000007
1425,15,40,14,40,65,14,3.5,0.5,1.0,1.2,20,50,1.2763178788580576,-0.12203648382381001,15252000.000000015
1426,10,30,10,30,70,10,2.5,2.0,1.5,1.0,5,45,1.3414492685235049,-0.10852592857031977,17435000.000000015
1427,12,40,18,30,60,21,4.0,1.0,1.0,1.0,10,45,2.088518260767668,-0.08090518133523446,28628000.00000003
1428,10,30,18,35,55,14,2.0,1.5,1.0,1.4,20,55,1.938783145699003,-0.0695657599201396,22681999.999999993
1429,12,20,18,30,65,21,1.5,1.5,1.5,0.8,15,50,1.3689178373134052,-0.1183296217537633,18306000.000000015
1430,15,25,14,45,65,14,4.5,1.0,1.0,0.8,20,45,1.3286481873516647,-0.16738314023172216,19143999.999999993
1431,10,40,10,40,70,21,4.0,2.0,1.5,1.2,15,45,1.0823359799358294,-0.152810184616644,14070000.000000015
1432,5,20,10,45,70,10,3.0,0.5,1.0,1.4,20,45,1.7897533201408622,-0.06873535468295107,20635999.999999993
1433,5,40,14,35,65,10,4.5,2.0,1.5,1.0,20,55,1.7994990254355838,-0.09936795314055519,25960999.999999978
1434,12,35,14,40,50,10,2.5,1.0,1.5,1.0,10,55,1.213515888278493,-0.12793802106366625,17763999.999999978
1435,15,35,10,40,70,10,2.0,1.0,2.0,0.8,15,45,0.7582050138338132,-0.178192617734408,10419000.00000003
1436,15,30,10,40,55,10,3.5,2.0,1.5,0.8,15,50,0.7494322391694574,-0.18172071830608402,10356999.999999993
